,Car_Name,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,car_prices_in_rupee
3278,Maruti Swift Dzire VDI,"70,000 kms",Diesel,Manual,1st Owner,2018,1047 cc,5 Seats,6.65 Lakh
3279,Hyundai i20 1.2 Asta Option,"50,924 kms",Petrol,Manual,2nd Owner,2018,1197 cc,5 Seats,5.63 Lakh
3280,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,"55,681 kms",Diesel,Manual,1st Owner,2015,998 cc,5 Seats,7.74 Lakh
3281,Tata Nexon 1.2 Revotron XM,"13,308 kms",Petrol,Manual,1st Owner,2019,998 cc,7 Seats,6.46 Lakh
3282,Maruti Zen Estilo LXI BS IV,"27,420 kms",Petrol,Manual,1st Owner,2011,1248 cc,5 Seats,1.67 Lakh
3283,Toyota Innova Crysta 2.4 VX MT 8S BSIV,"1,43,696 kms",Diesel,Manual,1st Owner,2018,1999 cc,4 Seats,15.05 Lakh
3284,Tata Tiago 1.05 Revotorq XT,"1,17,792 kms",Diesel,Manual,1st Owner,2017,2995 cc,6 Seats,3.74 Lakh
3285,Maruti Swift Dzire AMT VXI,"47,131 kms",Petrol,Automatic,1st Owner,2017,1991 cc,5 Seats,5.19 Lakh
3286,Maruti Wagon R LXI CNG,"1,04,155 kms",Cng,Manual,1st Owner,2012,1950 cc,8 Seats,1.95 Lakh
3287,Maruti A-Star Lxi,"54,573 kms",Petrol,Manual,1st Owner,2011,1498 cc,5 Seats,1.60 Lakh
3288,Maruti Baleno 1.3 Zeta,"84,143 kms",Diesel,Manual,3rd Owner,2019,2494 cc,7 Seats,5.88 Lakh
3289,Land Rover Discovery Sport TD4 HSE Luxury,"46,000 kms",Diesel,Automatic,1st Owner,2019,1199 cc,5 Seats,48 Lakh
3290,Audi Q8 55 TFSI Quattro,"28,000 kms",Petrol,Automatic,1st Owner,2021,4134 cc,5 Seats,1.02 Crore
3291,Mercedes-Benz C-Class C300 Cabriolet,"30,000 kms",Petrol,Automatic,1st Owner,2019,998 cc,5 Seats,68 Lakh
3292,Mercedes-Benz V-Class Exclusive,"47,000 kms",Diesel,Automatic,2nd Owner,2019,1197 cc,5 Seats,59 Lakh
3293,Ford Ecosport Titanium Diesel,"46,029 kms",Diesel,Manual,1st Owner,2021,1396 cc,7 Seats,7.35 Lakh
3294,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,"2,05,479 kms",Diesel,Manual,2nd Owner,2016,1248 cc,5 Seats,7.80 Lakh
3295,Tata Nexon XMA AMT S,"39,353 kms",Petrol,Automatic,1st Owner,2020,2755 cc,7 Seats,9.99 Lakh
3296,Audi Q7 4.2 TDI quattro,"80,087 kms",Diesel,Automatic,3rd Owner,2011,1950 cc,5 Seats,17.26 Lakh
3297,Kia Sonet HTX Turbo iMT,"14,067 kms",Petrol,Manual,1st Owner,2021,1462 cc,5 Seats,10.62 Lakh
3298,Maruti Baleno Delta,"13,341 kms",Petrol,Manual,1st Owner,2021,1197 cc,5 Seats,6.69 Lakh
3299,Hyundai i20 Active 1.4 SX,"59,326 kms",Diesel,Manual,2nd Owner,2017,1798 cc,5 Seats,5.74 Lakh
3300,Maruti Swift VDI BSIV,"71,093 kms",Diesel,Manual,1st Owner,2014,1197 cc,5 Seats,3.51 Lakh
3301,Toyota Fortuner 2.8 4WD AT BSIV,"94,000 kms",Diesel,Automatic,1st Owner,2018,796 cc,7 Seats,32 Lakh
3302,Mercedes-Benz E-Class Exclusive E 220d,"13,000 kms",Diesel,Automatic,1st Owner,2021,1956 cc,5 Seats,74.75 Lakh
3303,Maruti Ertiga ZXI Plus,"29,267 kms",Petrol,Manual,1st Owner,2019,2179 cc,5 Seats,9.46 Lakh
3304,Maruti Swift Dzire AMT VXI,"9,695 kms",Petrol,Automatic,1st Owner,2019,1199 cc,5 Seats,7.16 Lakh
3305,Toyota Corolla Altis G MT,"49,470 kms",Petrol,Manual,1st Owner,2016,1956 cc,5 Seats,8.83 Lakh
3306,Volkswagen Vento 1.2 TSI Highline AT,"27,334 kms",Petrol,Automatic,1st Owner,2016,1186 cc,5 Seats,7.31 Lakh
3307,Maruti Alto 800 LXI,"35,275 kms",Petrol,Manual,1st Owner,2016,1497 cc,5 Seats,2.68 Lakh
3308,Jeep Compass 2.0 Limited Plus AT,"32,365 kms",Diesel,Automatic,1st Owner,2020,1497 cc,5 Seats,22.13 Lakh
3309,Tata Hexa XT,"57,366 kms",Diesel,Manual,1st Owner,2017,1199 cc,5 Seats,10.21 Lakh
3310,Tata Altroz XZ,"30,972 kms",Petrol,Manual,1st Owner,2020,1956 cc,7 Seats,7.30 Lakh
3311,Jeep Compass 2.0 Sport,"63,641 kms",Diesel,Manual,2nd Owner,2018,1248 cc,7 Seats,11.78 Lakh
3312,Hyundai Grand i10 1.2 CRDi Sportz,"36,171 kms",Diesel,Manual,1st Owner,2018,2179 cc,6 Seats,5.20 Lakh
3313,Honda City i-VTEC CVT ZX,"33,851 kms",Petrol,Automatic,1st Owner,2017,1373 cc,5 Seats,9.50 Lakh
3314,Honda City i VTEC V,"73,414 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats,6.08 Lakh
3315,Tata Tiago 1.2 Revotron XZ,"65,938 kms",Petrol,Manual,1st Owner,2017,796 cc,5 Seats,4.31 Lakh
3316,MG Hector Sharp Diesel MT,"27,122 kms",Diesel,Manual,1st Owner,2020,1461 cc,7 Seats,17.30 Lakh
3317,Maruti Baleno 1.3 Zeta,"73,994 kms",Diesel,Manual,2nd Owner,2017,1497 cc,5 Seats,5.55 Lakh
3318,Tata Safari Storme VX Varicor 400,"65,779 kms",Diesel,Manual,1st Owner,2016,1493 cc,5 Seats,7.69 Lakh
3319,Maruti Ertiga BSIV ZXI,"51,239 kms",Petrol,Manual,1st Owner,2018,1396 cc,5 Seats,7.86 Lakh
3320,Mahindra KUV 100 mFALCON G80 K4,"70,222 kms",Petrol,Manual,1st Owner,2017,1086 cc,5 Seats,3.66 Lakh
3321,Maruti Alto 800 VXI,"3,415 kms",Petrol,Manual,1st Owner,2021,1086 cc,7 Seats,4.12 Lakh
3322,Nissan Terrano XL Plus 85 PS,"1,10,000 kms",Diesel,Manual,1st Owner,2014,1199 cc,5 Seats,4.20 Lakh
3323,Honda City 1.5 S AT,"80,000 kms",Petrol,Automatic,3rd Owner,2008,2179 cc,5 Seats,2 Lakh
3324,Mahindra Bolero Power Plus ZLX,"1,50,000 kms",Diesel,Manual,1st Owner,2017,1199 cc,5 Seats,6 Lakh
3325,Hyundai i20 Asta 1.4 CRDi,"97,000 kms",Diesel,Manual,2nd Owner,2015,1248 cc,5 Seats,5.40 Lakh
3326,Hyundai i10 Era,"80,000 kms",Petrol,Manual,3rd Owner,2009,2967 cc,7 Seats,2.25 Lakh
3327,Hyundai i10 Era,"25,000 kms",Petrol,Manual,1st Owner,2011,1197 cc,5 Seats,1.80 Lakh
3328,Volkswagen Polo Diesel Highline 1.2L,"60,000 kms",Diesel,Manual,2nd Owner,2012,2494 cc,4 Seats,2.70 Lakh
3329,Tata New Safari Dicor EX 4X2 BS IV,"80,000 kms",Diesel,Manual,1st Owner,2013,1396 cc,5 Seats,3.25 Lakh
3330,Chevrolet Beat LS,"1,00,000 kms",Petrol,Manual,2nd Owner,2017,796 cc,5 Seats,1.95 Lakh
3331,Maruti Swift Dzire VDI Optional,"30,000 kms",Diesel,Manual,1st Owner,2015,2993 cc,5 Seats,4.60 Lakh
3332,Porsche Cayenne Diesel,"1,20,000 kms",Diesel,Automatic,2nd Owner,2011,1248 cc,5 Seats,22 Lakh
3333,Maruti Swift VXI,"1,10,000 kms",Petrol,Manual,4th Owner,2011,1197 cc,5 Seats,2.10 Lakh
3334,Toyota Innova 2.5 VX (Diesel) 7 Seater,"1,20,000 kms",Diesel,Manual,3rd Owner,2013,1461 cc,5 Seats,5.50 Lakh
3335,Tata Indica eV2 LS,"1,10,000 kms",Diesel,Manual,1st Owner,2016,998 cc,4 Seats,1.13 Lakh
3336,Maruti 800 Std,"80,000 kms",Petrol,Manual,2nd Owner,1999,1997 cc,5 Seats,"35,000"
3337,BMW X5 xDrive 30d Design Pure Experience 5 Seater,"1,50,000 kms",Diesel,Automatic,1st Owner,2014,1997 cc,5 Seats,20 Lakh
3338,Maruti Swift Dzire VDI,"80,000 kms",Diesel,Manual,3rd Owner,2016,1248 cc,5 Seats,5.60 Lakh
3339,Hyundai Xcent 1.2 VTVT E,"10,000 kms",Petrol,Manual,1st Owner,2019,1582 cc,5 Seats,3.94 Lakh
3340,Renault Duster 110PS Diesel RxL,"1,20,000 kms",Diesel,Manual,1st Owner,2015,1197 cc,5 Seats,4 Lakh
3341,Maruti Wagon R VXI,"5,000 kms",Petrol,Manual,1st Owner,2022,1248 cc,5 Seats,5.60 Lakh
3342,BMW 5 Series 520i,"90,000 kms",Petrol,Automatic,2nd Owner,2012,1086 cc,5 Seats,9 Lakh
3343,Mahindra Thar LX 4-Str Hard Top AT,"20,000 kms",Petrol,Automatic,1st Owner,2020,1462 cc,5 Seats,13.75 Lakh
3344,Maruti Swift VDI BSIV W ABS,"1,00,000 kms",Diesel,Manual,3rd Owner,2010,1086 cc,7 Seats,2.35 Lakh
3345,Hyundai Verna 1.6 SX,"1,20,000 kms",Diesel,Manual,1st Owner,2013,2179 cc,5 Seats,3.65 Lakh
3346,Honda City 1.5 GXI,"90,000 kms",Petrol,Manual,4th Owner,2005,1193 cc,5 Seats,1.30 Lakh
3347,Maruti Swift VXI,"50,000 kms",Petrol,Manual,1st Owner,2017,1497 cc,5 Seats,5.50 Lakh
3348,Maruti Ritz VDi,"90,000 kms",Diesel,Manual,2nd Owner,2014,1998 cc,5 Seats,3 Lakh
3349,Hyundai Santro Magna,"3,700 kms",Petrol,Manual,1st Owner,2021,1582 cc,5 Seats,4 Lakh
3350,Maruti Ciaz Zeta,"15,000 kms",Petrol,Manual,1st Owner,2020,1197 cc,5 Seats,9 Lakh
3351,Hyundai Santro Era,"20,000 kms",Petrol,Manual,1st Owner,2019,1798 cc,5 Seats,4.25 Lakh
3352,Mahindra XUV500 W8 FWD,"1,20,000 kms",Diesel,Manual,1st Owner,2013,1248 cc,5 Seats,6.30 Lakh
3353,Tata Zest Revotron 1.2T XM,"60,000 kms",Petrol,Manual,1st Owner,2016,1399 cc,7 Seats,3.40 Lakh
3354,Honda City 1.5 S MT,"60,000 kms",Petrol,Manual,3rd Owner,2011,2982 cc,7 Seats,2.55 Lakh
3355,Chevrolet Cruze LTZ,"40,000 kms",Diesel,Manual,2nd Owner,2016,2179 cc,5 Seats,4.80 Lakh
3356,Hyundai Verna 1.6 CRDI,"1,10,000 kms",Diesel,Manual,3rd Owner,2011,998 cc,5 Seats,2.90 Lakh
3357,Hyundai i10 Sportz,"70,000 kms",Petrol,Manual,4th Owner,2011,1298 cc,5 Seats,2.10 Lakh
3358,Skoda Superb 1.8 TSI MT,"1,10,000 kms",Petrol,Manual,1st Owner,2011,796 cc,5 Seats,3 Lakh
3359,Maruti Swift VDI BSIV,"70,000 kms",Diesel,Manual,2nd Owner,2010,1497 cc,5 Seats,1.90 Lakh
3360,Ford Figo Diesel EXI,"80,000 kms",Diesel,Manual,2nd Owner,2011,1896 cc,7 Seats,1 Lakh
3361,Toyota Fortuner 4x2 Manual,"1,10,000 kms",Diesel,Manual,3rd Owner,2015,2179 cc,5 Seats,12.70 Lakh
3362,Mahindra XUV500 W8 AWD,"60,000 kms",Diesel,Manual,1st Owner,2013,1498 cc,7 Seats,7 Lakh
3363,Maruti Alto K10 VXI,"70,000 kms",Petrol,Manual,1st Owner,2016,1956 cc,5 Seats,2.85 Lakh
3364,Maruti Esteem Vxi,"1,20,000 kms",Petrol,Manual,2nd Owner,2007,1591 cc,5 Seats,"80,000"
3365,Maruti Alto LX,"15,000 kms",Petrol,Manual,1st Owner,2005,1461 cc,5 Seats,"98,900"
3366,Honda City 1.5 S Inspire,"1,10,000 kms",Petrol,Manual,2nd Owner,2009,796 cc,7 Seats,2.13 Lakh
3367,Skoda New Laura Ambiente 1.9 PD,"1,20,000 kms",Diesel,Manual,2nd Owner,2007,2179 cc,5 Seats,1.50 Lakh
3368,Tata Hexa XTA,"80,000 kms",Diesel,Automatic,2nd Owner,2018,1198 cc,5 Seats,10.80 Lakh
3369,Volkswagen Ameo 1.5 TDI Highline Plus 16,"50,000 kms",Diesel,Manual,2nd Owner,2018,1498 cc,2 Seats,5.35 Lakh
3370,Tata New Safari XZ Plus,"35,000 kms",Diesel,Manual,1st Owner,2021,2523 cc,5 Seats,20.65 Lakh
3371,Hyundai Verna VTVT 1.6 SX Option,"60,000 kms",Petrol,Manual,1st Owner,2019,796 cc,5 Seats,8.75 Lakh
3372,Nissan Micra Diesel XV,"1,10,000 kms",Diesel,Manual,2nd Owner,2013,2499 cc,5 Seats,2.66 Lakh
3373,Maruti Alto LX,"1,35,000 kms",Petrol,Manual,4th Owner,2009,1248 cc,7 Seats,1.25 Lakh
3374,Mahindra XUV500 W8 FWD,"90,000 kms",Diesel,Manual,2nd Owner,2013,2523 cc,5 Seats,5.25 Lakh
3375,Honda Brio S MT,"67,000 kms",Petrol,Manual,2nd Owner,2013,1298 cc,5 Seats,2.70 Lakh
3376,Honda Amaze EX i-Dtech,"90,000 kms",Diesel,Manual,3rd Owner,2014,1396 cc,5 Seats,2.50 Lakh
3377,Mahindra Bolero Pik Up Extra Long CBC 1.7T,"3,00,000 kms",Diesel,Manual,1st Owner,2019,1197 cc,5 Seats,6.90 Lakh
3378,Maruti Alto LXi BSIII,"50,000 kms",Petrol,Manual,2nd Owner,2008,1995 cc,5 Seats,1.35 Lakh
3379,Isuzu D-Max S CAB,"5,000 kms",Diesel,Manual,1st Owner,2022,1461 cc,5 Seats,7.76 Lakh
3380,Maruti Swift Dzire VDI,"1,00,000 kms",Diesel,Manual,2nd Owner,2014,1198 cc,5 Seats,4.25 Lakh
3381,Mahindra Bolero SLE,"1,10,000 kms",Diesel,Manual,3rd Owner,2011,998 cc,5 Seats,3 Lakh
3382,Maruti Swift Dzire VXi,"80,000 kms",Petrol,Manual,2nd Owner,2009,1498 cc,5 Seats,1.60 Lakh
3383,Hyundai Creta 1.4 CRDi Base,"78,000 kms",Diesel,Manual,1st Owner,2017,1396 cc,5 Seats,8 Lakh
3384,Maruti Swift VXi BSIV,"90,000 kms",Petrol,Manual,3rd Owner,2008,1586 cc,5 Seats,1.20 Lakh
3385,BMW 3 Series 320d,"1,00,000 kms",Diesel,Automatic,3rd Owner,2007,998 cc,5 Seats,3.75 Lakh
3386,Mahindra Verito Vibe 1.5 dCi D6,"1,36,000 kms",Diesel,Manual,2nd Owner,2013,1968 cc,5 Seats,2 Lakh
3387,Honda CR-V MT With Sun Roof,"1,36,000 kms",Petrol,Manual,3rd Owner,2012,999 cc,5 Seats,6.50 Lakh
3388,Maruti Alto K10 VXI,"40,000 kms",Petrol,Manual,1st Owner,2018,1493 cc,5 Seats,3.25 Lakh
3389,Volkswagen Polo 1.5 TDI Highline,"1,10,000 kms",Diesel,Manual,1st Owner,2015,1197 cc,5 Seats,3.65 Lakh
3390,Hyundai i20 Sportz 1.4 CRDi,"70,000 kms",Diesel,Manual,3rd Owner,2014,999 cc,5 Seats,3.10 Lakh
3391,Maruti SX4 Zxi with Leather BSIII,"90,000 kms",Petrol,Manual,2nd Owner,2007,1061 cc,5 Seats,1.20 Lakh
3392,Maruti Celerio VXI,"60,000 kms",Petrol,Manual,1st Owner,2016,1995 cc,5 Seats,3.35 Lakh
3393,Audi Q3 35 TDI Quattro Premium Plus,"40,000 kms",Diesel,Automatic,4th Owner,2014,998 cc,5 Seats,12.50 Lakh
3394,Hyundai Santro GLS I - Euro II,"1,47,000 kms",Petrol,Manual,1st Owner,2000,1248 cc,5 Seats,"65,000"
3395,Hyundai Creta SX Opt Knight Diesel AT DT,"20,000 kms",Diesel,Automatic,1st Owner,2021,999 cc,5 Seats,20 Lakh
3396,Maruti Baleno Zeta,"20,000 kms",Petrol,Manual,1st Owner,2021,1197 cc,5 Seats,7.10 Lakh
3397,Renault KWID 1.0 RXT,"35,000 kms",Petrol,Manual,1st Owner,2017,1956 cc,5 Seats,2.70 Lakh
3398,Maruti Wagon R LXI BSIII,"60,000 kms",Petrol,Manual,1st Owner,2005,1197 cc,5 Seats,"95,000"
3399,BMW X1 sDrive 18i,"1,00,000 kms",Petrol,Automatic,2nd Owner,2011,1197 cc,5 Seats,8 Lakh
3400,Maruti Alto K10 VXI AMT,"25,000 kms",Petrol,Automatic,2nd Owner,2017,1248 cc,5 Seats,3.50 Lakh
3401,Maruti Swift VDI BSIV,"60,000 kms",Diesel,Manual,1st Owner,2015,1968 cc,5 Seats,2.40 Lakh
3402,Renault KWID 1.0 RXT Optional AT 2016-2019,"45,095 kms",Petrol,Automatic,1st Owner,2017,1248 cc,5 Seats,3.09 Lakh
3403,Toyota Etios Liva G,"30,056 kms",Petrol,Manual,2nd Owner,2011,814 cc,7 Seats,2.04 Lakh
3404,Tata Harrier XT,"32,638 kms",Diesel,Manual,1st Owner,2021,2967 cc,5 Seats,15.42 Lakh
3405,Maruti Ignis Sigma,"21,513 kms",Petrol,Manual,1st Owner,2020,1798 cc,7 Seats,4.89 Lakh
3406,Maruti Swift Dzire VXI,"55,325 kms",Petrol,Manual,1st Owner,2015,2179 cc,5 Seats,3.87 Lakh
3407,Maruti Swift Dzire LDi,"1,63,043 kms",Diesel,Manual,3rd Owner,2009,1248 cc,5 Seats,1.48 Lakh
3408,Audi A4 2.0 TDI,"1,17,180 kms",Diesel,Automatic,3rd Owner,2011,1956 cc,7 Seats,7.60 Lakh
3409,Maruti Swift VDI BSIV,"1,56,932 kms",Diesel,Manual,3rd Owner,2014,2494 cc,5 Seats,3.01 Lakh
3410,Hyundai EON Magna Plus,"28,508 kms",Petrol,Manual,1st Owner,2013,1373 cc,5 Seats,1.84 Lakh
3411,Audi Q7 3.0 TDI Quattro Premium Plus,"86,594 kms",Diesel,Automatic,3rd Owner,2009,1197 cc,5 Seats,11.02 Lakh
3412,Skoda Superb Elegance 1.8 TSI,"61,090 kms",Petrol,Manual,2nd Owner,2011,1497 cc,5 Seats,5.11 Lakh
3413,Mahindra Scorpio SLE 7S BSIII,"2,95,392 kms",Diesel,Manual,1st Owner,2011,1197 cc,5 Seats,3.70 Lakh
3414,Maruti Swift LDI,"84,132 kms",Diesel,Manual,1st Owner,2012,1582 cc,7 Seats,2.50 Lakh
3415,Jeep Compass 2.0 Limited Option 4X4,"99,695 kms",Diesel,Manual,1st Owner,2017,2393 cc,5 Seats,11.25 Lakh
3416,Toyota Innova 2.5 ZX Diesel 7 Seater,"98,234 kms",Diesel,Manual,1st Owner,2014,1461 cc,7 Seats,7.51 Lakh
3417,Maruti Ciaz VXi Plus,"86,523 kms",Petrol,Manual,1st Owner,2016,1462 cc,5 Seats,5.24 Lakh
3418,Hyundai i10 Sportz,"76,974 kms",Petrol,Manual,2nd Owner,2012,1498 cc,7 Seats,2.27 Lakh
3419,Honda City 1.5 S MT,"1,12,308 kms",Petrol,Manual,3rd Owner,2008,2199 cc,5 Seats,2.13 Lakh
3420,Maruti Swift Dzire VXI,"42,278 kms",Petrol,Manual,1st Owner,2012,1451 cc,5 Seats,2.92 Lakh
3421,Hyundai Creta 1.6 CRDi SX,"65,308 kms",Diesel,Manual,1st Owner,2016,1248 cc,7 Seats,8.29 Lakh
3422,Toyota Innova Crysta 2.4 ZX MT BSIV,"83,519 kms",Diesel,Manual,1st Owner,2016,2499 cc,7 Seats,14.99 Lakh
3423,Renault Duster 110PS Diesel RxZ,"1,33,159 kms",Diesel,Manual,1st Owner,2013,1997 cc,5 Seats,3.52 Lakh
3424,Maruti Ertiga CNG VXI,"55,481 kms",Cng,Manual,1st Owner,2020,998 cc,7 Seats,9.06 Lakh
3425,MG Astor Super CVT,"7,046 kms",Petrol,Automatic,1st Owner,2021,1493 cc,5 Seats,12.27 Lakh
3426,Kia Carnival Prestige,"9,762 kms",Diesel,Automatic,1st Owner,2021,1248 cc,5 Seats,28.21 Lakh
3427,MG Hector Sharp DCT,"12,144 kms",Petrol,Automatic,1st Owner,2021,1248 cc,5 Seats,18.35 Lakh
3428,Maruti SX4 S Cross Zeta DDiS 200 SH,"1,17,585 kms",Diesel,Manual,1st Owner,2017,1120 cc,5 Seats,6.86 Lakh
3429,Ford Endeavour 2.5L 4X2 MT,"2,05,129 kms",Diesel,Manual,1st Owner,2014,1193 cc,5 Seats,6.46 Lakh
3430,Mahindra Scorpio 1.99 S10,"53,076 kms",Diesel,Manual,2nd Owner,2016,1498 cc,5 Seats,8.47 Lakh
3431,Maruti Celerio VXI CNG BSIV,"84,346 kms",Cng,Manual,1st Owner,2018,1968 cc,5 Seats,4.28 Lakh
3432,Mahindra TUV 300 T8,"97,865 kms",Diesel,Manual,1st Owner,2015,814 cc,5 Seats,5.01 Lakh
3433,Maruti Swift VDI BSIV,"89,807 kms",Diesel,Manual,1st Owner,2010,1396 cc,7 Seats,2.07 Lakh
3434,Maruti Swift Dzire VDI,"99,121 kms",Diesel,Manual,3rd Owner,2014,2199 cc,5 Seats,3.27 Lakh
3435,Hyundai Grand i10 CRDi Magna,"97,497 kms",Diesel,Manual,1st Owner,2016,1498 cc,5 Seats,3.60 Lakh
3436,Tata Indigo GLX BS III,"48,863 kms",Petrol,Manual,1st Owner,2010,1364 cc,5 Seats,"90,316"
3437,Honda City i DTEC E,"1,33,384 kms",Diesel,Manual,1st Owner,2014,1582 cc,5 Seats,4.28 Lakh
3438,Audi A6 35 TDI Technology,"94,235 kms",Diesel,Automatic,3rd Owner,2012,1248 cc,5 Seats,10.59 Lakh
3439,Hyundai EON Magna Plus,"26,995 kms",Petrol,Manual,1st Owner,2015,1461 cc,5 Seats,2.46 Lakh
3440,Hyundai i20 Asta 1.4 CRDi,"93,763 kms",Diesel,Manual,1st Owner,2015,998 cc,5 Seats,4.93 Lakh
3441,Hyundai Santa Fe 4WD AT,"1,33,491 kms",Diesel,Automatic,3rd Owner,2015,1197 cc,5 Seats,9.38 Lakh
3442,Volkswagen Polo 1.5 TDI Highline,"73,323 kms",Diesel,Manual,3rd Owner,2015,799 cc,5 Seats,3.74 Lakh
3443,Toyota Etios Liva GD,"1,41,059 kms",Diesel,Manual,2nd Owner,2015,1498 cc,5 Seats,3.87 Lakh
3444,Hyundai Verna 1.6 CRDi EX MT,"1,78,989 kms",Diesel,Manual,1st Owner,2011,1998 cc,5 Seats,2.89 Lakh
3445,Maruti Swift Dzire VDI,"1,29,195 kms",Diesel,Manual,1st Owner,2013,1968 cc,5 Seats,3.68 Lakh
3446,Renault Duster 85PS Diesel RxL,"73,331 kms",Diesel,Manual,2nd Owner,2013,1248 cc,5 Seats,3.16 Lakh
3447,Maruti Celerio VXI,"75,088 kms",Petrol,Manual,1st Owner,2014,998 cc,5 Seats,2.49 Lakh
3448,Hyundai Grand i10 Magna,"60,609 kms",Petrol,Manual,1st Owner,2015,1995 cc,5 Seats,3.23 Lakh
3449,Renault KWID RXE,"48,448 kms",Petrol,Manual,1st Owner,2015,998 cc,5 Seats,2.19 Lakh
3450,Ford Ecosport 1.5 DV5 MT Titanium Optional,"1,12,525 kms",Diesel,Manual,1st Owner,2015,1956 cc,7 Seats,5.33 Lakh
3451,Chevrolet Cruze LT,"97,095 kms",Diesel,Manual,3rd Owner,2012,2179 cc,5 Seats,2.66 Lakh
3452,Audi A4 2.0 TDI,"1,14,450 kms",Diesel,Automatic,3rd Owner,2013,998 cc,5 Seats,8.03 Lakh
3453,Maruti Swift VDI BSIV,"1,77,180 kms",Diesel,Manual,3rd Owner,2010,1497 cc,5 Seats,1.62 Lakh
3454,Maruti Wagon R LXI CNG,"1,22,702 kms",Cng,Manual,1st Owner,2016,1248 cc,5 Seats,2.59 Lakh
3455,BMW 3 Series 320d,"1,45,228 kms",Diesel,Automatic,1st Owner,2010,2993 cc,5 Seats,5.19 Lakh
3456,Maruti Alto K10 2010-2014 VXI,"11,026 kms",Petrol,Manual,1st Owner,2011,796 cc,5 Seats,1.44 Lakh
3457,MG Hector Sharp Diesel MT,"5,216 kms",Diesel,Manual,1st Owner,2022,1586 cc,5 Seats,18.89 Lakh
3458,Tata Sumo MKII GX BS IV,"39,732 kms",Diesel,Manual,1st Owner,2011,1248 cc,5 Seats,2.78 Lakh
3459,Maruti Alto K10 VXI,"26,360 kms",Petrol,Manual,1st Owner,2019,1462 cc,7 Seats,3.61 Lakh
3460,Honda City V MT AVN,"55,360 kms",Petrol,Manual,1st Owner,2017,2179 cc,5 Seats,7.25 Lakh
3461,Maruti Swift Dzire LDI,"1,01,417 kms",Diesel,Manual,2nd Owner,2015,1968 cc,5 Seats,2.97 Lakh
3462,BMW 7 Series 730Ld,"1,04,033 kms",Diesel,Automatic,3rd Owner,2010,1498 cc,5 Seats,12.97 Lakh
3463,Maruti Alto LX,"73,411 kms",Petrol,Manual,3rd Owner,2011,1199 cc,5 Seats,1.11 Lakh
3464,Maruti SX4 Zxi BSIII,"19,844 kms",Petrol,Manual,1st Owner,2008,1498 cc,5 Seats,2.10 Lakh
3465,Maruti Swift VDI,"1,07,497 kms",Diesel,Manual,1st Owner,2012,1995 cc,5 Seats,3.30 Lakh
3466,Maruti Ciaz Delta BSIV,"86,272 kms",Petrol,Manual,1st Owner,2018,1582 cc,5 Seats,6.26 Lakh
3467,Tata Hexa XT,"82,455 kms",Diesel,Manual,2nd Owner,2017,2143 cc,5 Seats,8.86 Lakh
3468,Audi Q3 35 TDI Quattro Premium Plus,"40,996 kms",Diesel,Automatic,1st Owner,2019,1462 cc,5 Seats,25.48 Lakh
3469,Honda Amaze SX i-DTEC,"1,82,628 kms",Diesel,Manual,1st Owner,2016,1197 cc,5 Seats,3.56 Lakh
3470,Volkswagen Polo Diesel Comfortline 1.2L,"80,615 kms",Diesel,Manual,4th Owner,2011,1197 cc,5 Seats,1.92 Lakh
3471,Honda City i DTEC VX,"1,19,391 kms",Diesel,Manual,1st Owner,2015,1497 cc,7 Seats,5.29 Lakh
3472,BMW 3 Series 320d Sport Line,"1,69,917 kms",Diesel,Automatic,3rd Owner,2012,2494 cc,5 Seats,9.93 Lakh
3473,Hyundai Verna CRDi 1.6 AT SX Option,"28,235 kms",Diesel,Automatic,2nd Owner,2020,796 cc,5 Seats,11.95 Lakh
3474,Mercedes-Benz C-Class 220 CDI AT,"86,063 kms",Diesel,Automatic,1st Owner,2014,1498 cc,7 Seats,11.36 Lakh
3475,Toyota Urban cruiser Premium AT,"9,711 kms",Petrol,Automatic,1st Owner,2021,2393 cc,5 Seats,10.72 Lakh
3476,Maruti Swift VXI,"1,08,590 kms",Petrol,Manual,1st Owner,2015,1197 cc,5 Seats,3.62 Lakh
3477,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"51,777 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,4.66 Lakh
3478,Tata Nexon XM Diesel S,"19,909 kms",Diesel,Manual,1st Owner,2021,1198 cc,5 Seats,9.81 Lakh
3479,Toyota Innova 2.5 GX (Diesel) 7 Seater BS IV,"1,19,363 kms",Diesel,Manual,2nd Owner,2014,1197 cc,5 Seats,6.31 Lakh
3480,Maruti Alto 800 LXI CNG,"46,001 kms",Cng,Manual,1st Owner,2020,999 cc,5 Seats,2.55 Lakh
3481,Honda City ZX CVT,"2,710 kms",Petrol,Automatic,1st Owner,2022,1461 cc,5 Seats,14.43 Lakh
3482,Toyota Innova Crysta 2.4 VX MT BSIV,"46,471 kms",Diesel,Manual,2nd Owner,2020,1086 cc,5 Seats,19.13 Lakh
3483,Maruti Swift Dzire AMT ZXI Plus,"45,893 kms",Petrol,Automatic,1st Owner,2020,1399 cc,5 Seats,6.41 Lakh
